ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Demo User,Free Trial User,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,USD Purchase Amount,USD Purchase Amount Clean
147,ALL,Limited,INITIAL_PURCHASE,Web,239.0,EUR,2020-03-22,2022-03-22,No,Yes,On,Europe,Consumer,Web,Yes,Yes,13,1,1,1,1,262.90000000000003,262.90000000000003
150,JPN,Limited,RENEWAL,Web,79.0,USD,2019-07-20,2020-04-20,Yes,No,Off,US/Canada,Consumer,App,No,Yes,10,9,4,2,1,79.0,79.0
152,NED,Limited,INITIAL_PURCHASE,Web,0.0,USD,2018-12-11,2020-03-11,Yes,No,Off,Europe,Consumer,Web,Yes,Yes,34,13,4,6,1,0.0,0.0
153,ENG,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-08-26,2019-11-29,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,78,0,0,0,0,39.0,39.0
154,FRA,Limited,INITIAL_PURCHASE,Web,38.13,USD,2019-09-19,2019-12-19,No,No,Off,Other,Other,Unknown,No,No,51,2,0,2,0,38.13,38.13
156,CHI,Limited,INITIAL_PURCHASE,Web,24.5,EUR,2020-03-20,2020-06-24,No,Yes,On,Europe,Consumer,Web,Yes,Yes,27,21,20,3,2,26.950000000000003,26.950000000000003
157,ENG,Limited,INITIAL_PURCHASE,Web,0.0,USD,2019-04-28,2021-03-11,No,Yes,Off,Other,Consumer,Web,Yes,Yes,7,5,0,2,0,0.0,0.0
164,FRA,Lifetime,INITIAL_PURCHASE,Web,0.0,USD,2019-01-04,2099-01-01,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,1,0,0,0,0,0.0,0.0
167,JPN,Limited,INITIAL_PURCHASE,Web,8.72,EUR,2019-03-28,2021-03-28,No,No,Off,Europe,Consumer,Web,No,Yes,21,21,4,3,1,9.592000000000002,9.592000000000002
171,ESC,Limited,RENEWAL,Web,10.83,GBP,2019-01-16,2020-05-17,No,No,On,Europe,Consumer,Web,Yes,Yes,9,8,8,2,2,13.6458,13.6458
172,ESP,Limited,RENEWAL,Web,79.0,USD,2019-04-13,2020-01-13,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,141,5,1,5,1,79.0,79.0
173,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-02-23,2099-01-01,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,53,8,0,4,0,189.0,189.0
175,ALL,Lifetime,INITIAL_PURCHASE,Web,212.43,USD,2020-03-03,2099-01-01,No,No,Off,Other,Other,Unknown,No,No,7,2,0,1,0,212.43,212.43
180,ESP,Limited,RENEWAL,Web,35.97,USD,2019-07-11,2020-07-14,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,8,5,0,1,0,35.97,35.97
183,NED,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-01-16,2020-04-19,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,28,24,17,7,3,35.97,35.97
184,ENG,Limited,INITIAL_PURCHASE,Web,108.0,EUR,2020-03-23,2020-09-23,No,No,On,Europe,Consumer,Web,Yes,Yes,9,9,0,4,0,118.80000000000001,118.80000000000001
186,ESP,Limited,INITIAL_PURCHASE,Web,120.0,EUR,2019-08-29,2021-08-29,Yes,No,Off,Europe,Consumer,Web,No,Yes,60,60,60,1,1,132.0,132.0
187,ALL,Limited,INITIAL_PURCHASE,Web,99.0,USD,2020-03-15,2021-03-15,No,Yes,On,US/Canada,Consumer,Web,No,Yes,2,2,0,1,0,99.0,99.0
190,DEU,Limited,RENEWAL,Web,119.0,USD,2018-10-21,2020-04-21,No,No,On,US/Canada,Consumer,Web,Yes,Yes,2,1,0,1,0,119.0,119.0
191,ENG,Limited,INITIAL_PURCHASE,Web,0.0,USD,2019-06-05,2019-12-05,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,215,141,0,129,0,0.0,0.0
194,ESP,Limited,INITIAL_PURCHASE,Web,38.81,USD,2019-08-16,2019-11-16,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,150,1,0,1,0,38.81,38.81
195,DEU,Limited,RENEWAL,Web,83.19,EUR,2020-01-12,2020-07-12,No,No,On,Other,Other,Unknown,No,No,3,2,0,1,0,91.509,91.509
199,GRK,Limited,INITIAL_PURCHASE,Web,0.0,USD,2019-04-06,2019-10-06,Yes,No,Off,US/Canada,Consumer,App,No,Yes,5,5,0,3,0,0.0,0.0
200,FRA,Limited,INITIAL_PURCHASE,Web,38.25,USD,2020-01-28,2020-04-28,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,43,3,0,2,0,38.25,38.25
205,ENG,Limited,RENEWAL,Web,119.0,USD,2019-08-07,2020-08-07,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,4,0,0,0,0,119.0,119.0
213,ESP,Lifetime,INITIAL_PURCHASE,Web,195.56,USD,2019-12-06,2099-01-01,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,2,0,0,0,0,195.56,195.56
219,DEU,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-02-09,2020-05-09,Yes,No,On,US/Canada,Consumer,Web,Yes,Yes,12,1,0,1,0,35.97,35.97
224,POR,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-02-28,2020-06-14,No,Yes,Off,Other,Consumer,Web,No,Yes,11,3,0,1,0,35.97,35.97
225,ESC,Limited,INITIAL_PURCHASE,Web,8.29,GBP,2019-05-21,2021-05-21,No,Yes,On,Europe,Consumer,App,Yes,Yes,2,0,0,0,0,10.4454,10.4454
232,CHI,Limited,INITIAL_PURCHASE,Web,65.94,USD,2018-11-24,2020-04-12,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,5,4,0,2,0,65.94,65.94
234,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-01-15,2099-01-01,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,5,0,0,0,0,189.0,189.0
236,ESP,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-07-23,2019-10-26,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,181,7,0,6,0,39.0,39.0
239,RUS,Limited,INITIAL_PURCHASE,Web,59.0,EUR,2020-01-15,2020-07-15,Yes,No,On,Europe,Consumer,App,No,Yes,2,2,0,1,0,64.9,64.9
